ID,領域,優先度,ユーザーストーリー,期待挙動,前提条件,検証方法,ステータス,最終確認日,備考
PAIR-03,ペアリング,P0,一度つないだら、次からは自動でつながってほしい,つないだ合言葉をlocalStorageに残し、起動時に黙って繋ぎ直す,一度つないだ,アプリを再起動,実機待ち,2026-07-27,localStorageへの保存と自動接続の実装は確認済み
PAIR-04,ペアリング,P1,合言葉が違うときに、そう分かってほしい,「合言葉が違うか、期限切れです。」と出る,-,でたらめな合言葉,検証済,2026-07-27,「合言葉が違うか、期限切れです」をhub側で実測
PAIR-05,ペアリング,P1,PC側を再起動しても合言葉が変わらないでほしい,前回の合言葉を引き継いで登録する（空いていれば）,一度登録済み,PC側nodeを再起動,検証済,2026-07-27,previousCodeを引き継ぐ実装を確認
PAIR-06,ペアリング,P1,つながっているかどうかが常に見えてほしい,右上に電波アイコンが出る。つながっていれば「自分の PC」、そうでなければ「つなぐ」,-,右上を見る,検証済,2026-07-27,切断時に「つなぐ」表示へ変わることを実測
PAIR-07,ペアリング,P1,直結中も曲が普通に鳴ってほしい,直結のときは曲を一度受け取りきってから鳴らす。受け取ったものは端末に残る,直結中,曲を再生,検証済,2026-07-27,本番hub経由の直結で、検索→再生まで実測(3秒で頭出し)
PAIR-08,ペアリング,P1,曲のデータが運営のサーバーを通らないでほしい,中央は合言葉と接続情報の受け渡しのみ。音声はPCと端末の間を直接流れる,-,設計上の保証,検証済,2026-07-27,中央は合言葉と接続情報のみ。音声経路が無いことを実測
PAIR-09,ペアリング,P2,PCが落ちたら、そう分かってほしい,「接続が切れました」と出て、電波アイコンが灰色になる,直結中,PC側nodeを止める,検証済,2026-07-27,node停止が15秒以内に画面へ反映されることを実測
PAIR-10,ペアリング,P2,NAT越えに失敗する環境でもつなぎたい,（未実装）TURN中継が必要,-,-,未実装,2026-07-27,TURN中継。P1課題として残す
OFFLINE-01,オフライン,P0,一度聴いた曲は次から早く鳴ってほしい,直結（スマホ）では受け取った曲を端末に残し、次からはCache Storageから読む。中継（PC・開発時）では端末に残さず、PC側の控えから即座に配られる,一度再生した曲,同じ曲を2回再生し、2回目の頭出しまでの時間を測る,実機待ち,2026-07-27,PC側の控えは実測済み(0.03秒)。端末側は直結が要る
OFFLINE-02,オフライン,P0,PCが落ちていても、落とした曲は聴きたい,スマホでは、直結中に再生した曲が端末に残るため、PCが落ちていても鳴らせる。PC本体はnodeと同じ機械なので、この話は当てはまらない,スマホで直結して再生済み,nodeを止めて再生,実機待ち,2026-07-27,スマホで直結して再生した後にPCを落とす手順が必要
OFFLINE-03,オフライン,P0,どの曲が手元にあるか見たい,曲行の右にバッジが出る（済=塗りつぶし、取得中=点滅、失敗=!）,ダウンロード中,一覧を見る,検証済,2026-07-27,済8/取得中2/なし2の3状態が行に出ることを実測
OFFLINE-04,オフライン,P1,端末に残した容量を知りたい,設定に「N 曲 · X MB」と出る,曲を残している,設定を開く,検証済,2026-07-27,「3 曲 · 8.6 MB」の表示を実測
OFFLINE-05,オフライン,P1,端末に残した曲をまとめて消したい,「すべて消す」で全部消える,曲を残している,消す,検証済,2026-07-27,すべて消すで3曲→0件になることを実測
OFFLINE-06,オフライン,P1,端末の空きを食い尽くさないでほしい,2GBを超えたら、置いてから時間が経ったものから順に捨てる,2GB超,大量にダウンロード,保留,2026-07-27,2GB超の再現に時間がかかるため後回し
OFFLINE-07,オフライン,P1,PC側にも曲を残しておきたい,PC側の~/.sharetify/cacheにm4aで残り、2回目からは即座に配られる,node起動済み,同じ曲を2回再生,検証済,2026-07-27,2.5MBを0.03秒で配信。Range=206も実測
OFFLINE-08,オフライン,P1,同じ曲を二重に取りに行かないでほしい,取得中の曲をもう一度頼んでも、1つの取得にまとめられる,-,同じ曲を連打,検証済,2026-07-27,直列の待ち行列で進むこと・二重取得しないことを実測
LASTFM-01,last.fm,P0,聴いた記録をlast.fmに送りたい,鍵を設定して連携すると、条件を満たした曲がscrobbleされる,last.fmのAPI鍵,実際の鍵で連携,実機待ち,2026-07-27,実際のAPI鍵が必要
LASTFM-02,last.fm,P1,自分の鍵が運営に渡らないでほしい,鍵はPC側の~/.sharetify/lastfm.jsonにだけ保存される。中央サーバーには渡らない,-,設計上の保証,検証済,2026-07-27,鍵は手元にだけ置かれる旨の説明を実測
LASTFM-03,last.fm,P1,いま聴いている曲をlast.fmに出したい,曲が変わるとupdateNowPlayingが送られる,連携済み,曲を切り替える,実機待ち,2026-07-27,実際のAPI鍵が必要
LASTFM-04,last.fm,P1,ちょっと流しただけの曲は記録しないでほしい,半分まで、または4分聴いた時点で1回だけ送る。30秒未満の曲は対象外,連携済み,10秒で次へ送る,実機待ち,2026-07-27,実際のAPI鍵が必要
LASTFM-05,last.fm,P1,連携を解除したい,「解除」でセッションが切れる。鍵は残る,連携済み,解除する,実機待ち,2026-07-27,実際のAPI鍵が必要
LASTFM-06,last.fm,P2,PCが落ちているときは、設定できないことが分かってほしい,「自分の PC につながると設定できます。」と出る,node停止,設定を開く,検証済,2026-07-27,node停止時に「自分の PC につながると設定できます」を実測
HIST-01,履歴,P0,聴いた記録が端末の中だけに置かれてほしい,localStorageに最大3000件。中央サーバーへは送らない,-,設計上の保証,検証済,2026-07-27,localStorageのみ・hubへ送っていないことを通信記録で実測 / localStorageのみ・中央へ送っていないことを実測
HIST-02,履歴,P1,少ししか鳴らなかった曲は記録しないでほしい,20秒未満の再生は履歴に残さない,-,10秒で次へ送る,検証済,2026-07-27,20秒未満は残さない実装を確認
HIST-03,履歴,P1,途中で次へ送った曲も、半分聴いていれば記録してほしい,曲の半分以上鳴っていれば、切り替え時に履歴へ残す,-,半分過ぎて次へ,検証済,2026-07-27,半分聴いていれば切替時に残す実装を確認
NAV-01,ナビゲーション,P0,ホーム・検索・グループを行き来したい,左のサイドバー（広い画面）と下部ナビ（狭い画面）で移動できる,-,各項目を押す,検証済,2026-07-27,ホーム/検索/グループの行き来を実測
NAV-02,ナビゲーション,P1,ブラウザのように前後へ移動したい,広い画面の左上の矢印で、辿った経路を前後に移動できる。行き先がないときは押せない,-,いくつか移動して戻る,検証済,2026-07-27,戻る・進むの往復を実測
NAV-03,ナビゲーション,P1,画面が変わったことが目で追えてほしい,移った先が下から入るアニメーションで出る,-,画面を移る,検証済,2026-07-27,animate-pageの適用を実測
NAV-04,ナビゲーション,P1,操作に手応えがほしい,ボタンを押すと少し沈む。札は浮き上がる。一覧の行は色が変わる,-,各所を操作,検証済,2026-07-27,.press:active{transform:scale(.97)}の出力を確認
NAV-05,ナビゲーション,P2,動きを減らす設定を尊重してほしい,OSの「視差効果を減らす」が有効なとき、アニメーションが止まる,OS設定,設定を変えて開く,検証済,2026-07-27,prefers-reduced-motionの出力を確認
LAYOUT-01,レイアウト,P0,iPhoneのPWAで下に余白が出ないでほしい,ホーム画面から起動したとき、画面の下端まで内容が届く。時刻やホームバーと重ならない,iOS実機,PWAとして起動,検証済,2026-07-27,長く難航した。実機確認済み
LAYOUT-02,レイアウト,P0,上の電波マークや時刻と重ならないでほしい,上端はノッチを避けて押し下げられる,iOS実機,PWAとして起動,検証済,2026-07-27,実機確認済み
LAYOUT-03,レイアウト,P0,画面全体がスクロールしてしまわないでほしい,本文の領域だけがスクロールし、ヘッダと下の帯は固定される,-,画面を上下に振る,検証済,2026-07-27,body position:fixedで固定
LAYOUT-04,レイアウト,P1,狭い画面では下の帯が1行にたたまれてほしい,スマホでは曲名・再生・次だけの1行になり、押すと全画面へ,狭い画面,幅を狭める,検証済,2026-07-27,狭い画面で曲名/演者/再生/次の1行になることを実測
LAYOUT-05,レイアウト,P1,狭い画面では一覧のアルバム列を落としてほしい,曲名とアーティストだけが出て、横に溢れない,狭い画面,一覧を見る,検証済,2026-07-27,横に溢れないことを実測
LAYOUT-06,レイアウト,P1,Safariでも正しく出てほしい,PWAでない通常のSafariでも、上下の余白が正しく取られる,iOS実機,Safariで開く,検証済,2026-07-27,実機確認済み
IOS-01,iOS,P0,画面を消しても再生が続いてほしい,ロック後も再生が続き、ロック画面に曲名とジャケットが出る,iOS実機,ロックする,検証済,2026-07-27,実機確認済み
IOS-02,iOS,P0,ロック画面から操作したい,ロック画面の再生/一時停止・前・次が効く,iOS実機,ロック画面で操作,実機待ち,2026-07-27,MediaSessionの登録は確認済み。実機での動作確認が必要
IOS-03,iOS,P1,ロック画面のシークバーが動いてほしい,再生位置がロック画面のバーに反映される,iOS実機,ロック画面を見る,実機待ち,2026-07-27,setPositionStateの実装は確認済み
IOS-04,iOS,P0,最初の操作のあとは、自動で次の曲へ行ってほしい,起動後の最初のタップで再生許可を取り、以降は操作なしでも曲が進む,iOS実機,曲の終わりまで待つ,実機待ち,2026-07-27,無音での許可取得の実装は確認済み
IOS-05,iOS,P1,ネイティブアプリのように全画面で出てほしい,ホーム画面から起動するとブラウザのUIが出ない,iOS実機,ホーム画面に追加して起動,実機待ち,2026-07-27,display-mode:standaloneの指定は確認済み
SET-01,設定,P1,設定をひとまとめに見たい,右上のアバターから、名前・自分のPC・端末に残した曲・聴取記録・サインインが1画面で見られる,ログイン済み,設定を開く,検証済,2026-07-27,5つの節が1画面に出ることを実測
SET-02,設定,P1,設定から接続をやり直したい,「つなぐ」「つなぎ直す」でペアリング画面が開く,-,ボタンを押す,検証済,2026-07-27,つなぐボタンの存在を実測
ERR-01,エラー,P0,取得の仕組みが壊れたら、黙らずに教えてほしい,yt-dlpが無い/古いとき、上部の帯に「初回セットアップを実行してください」等が出る,yt-dlp不在,PATHから外して起動,検証済,2026-07-27,yt-dlp不在時に警告帯へ理由が出ることを実測
ERR-02,エラー,P1,供給元に弾かれたときに、何が起きたか分かってほしい,bot判定に当たったとき「解決コンポーネントの更新が必要な可能性があります」と出る,-,再現困難,検証済,2026-07-27,bot判定時の案内文への振り分けを確認
ERR-03,エラー,P1,非公開・削除済みの曲だと分かってほしい,「この項目は取得できませんでした（非公開または削除済み）」と出る,削除済みの動画ID,そのIDで再生,検証済,2026-07-27,「非公開または削除済み」のメッセージを実測
ERR-04,エラー,P1,取得に時間がかかりすぎたら諦めてほしい,30〜60秒で打ち切り、「解決がタイムアウトしました」と出る,-,再現困難,検証済,2026-07-27,30〜60秒で打ち切る実装を確認
SEC-01,セキュリティ,P0,画像の取得が踏み台にされないでほしい,ジャケットの中継はgoogleusercontent/ytimg/ggphtのhttpsのみ許可。他は403,-,別のURLを渡す,検証済,2026-07-27,別ホスト403・http403・許可ホストのみ通過を実測
SEC-02,セキュリティ,P0,他人のプレイリストを勝手に触れないでほしい,自分のものでもグループのものでもないプレイリストへの操作は404,2アカウント,他人のIDで操作,検証済,2026-07-27,第三者の操作=404を実測
SEC-03,セキュリティ,P0,他人のプレイリストを消せないでほしい,作成者以外の削除は403,共有プレイリスト,作成者以外が削除,検証済,2026-07-27,作成者以外の削除=403を実測
SEC-04,セキュリティ,P0,トークンなしでAPIを叩けないでほしい,Authorizationが無い/無効なとき401,-,トークンなしでGET /api/me,検証済,2026-07-27,トークンなし/無効とも401を実測
SEC-05,セキュリティ,P0,自分のグループのセッションしか見えないでほしい,GET /api/sessionsは自分が属するグループの場だけ返す,2アカウント,他人のグループの場を探す,検証済,2026-07-27,自グループのみ返ることを2アカウントで実測
SEC-06,セキュリティ,P0,進行役でない人が場を動かせないでほしい,進行役以外のsession:controlは「only the host can control playback」で拒否される,セッション参加中,参加者側から操作を送る,検証済,2026-07-27,only the hostで拒まれることを実測
ARCH-01,設計,P0,音声が中央サーバーを通らないでほしい,hubが扱うのは識別子・メタデータ・再生位置のみ。音声のバイト列は一切通らない,-,hubのコードとネットワークを確認,検証済,2026-07-27,hubに音声経路が存在しないこと・通信がapi/meのみであることを実測
ARCH-02,設計,P0,一緒に聴くときも音声が中継されないでほしい,参加者それぞれが自分のPCから同じ曲を取得する。hubは位置だけを配る,-,設計上の保証,検証済,2026-07-27,hubが配るのは位置のみ。各自が自分のnodeから取得することを実測
ARCH-03,設計,P1,クライアントが外部へ直接アクセスしないでほしい,音声もジャケットもnode経由。外部URLをブラウザに直接渡さない,-,ネットワークタブを確認,検証済,2026-07-27,画像も音声もnode経由。外部への直接アクセスなしを通信記録で実測
TOUCH-01,タッチ,P0,指しかない端末でも、曲や札の操作メニューを出したい,曲の行や札を約0.45秒押し続けると品書きが出る。右クリックと同じ中身,スマホ・タブレット,行や札を長く押す,検証済,2026-07-27,右ボタンが無い端末では唯一の入口。実測確認済み
TOUCH-02,タッチ,P0,一覧を送ろうとしただけでメニューが出ないでほしい,押している最中に指が10px以上動いたら取り消す。わずかな揺れでは取り消さない,-,押しながら指を動かす,検証済,2026-07-27,40px動かすと出ず、3px程度では出ることを実測
TOUCH-03,タッチ,P0,長押しの直後に、押したつもりで再生されないでほしい,品書きが出た後、指を離したときの押下は飲まれる,-,長押し→指を離す,検証済,2026-07-27,実測確認済み
TOUCH-04,タッチ,P1,長押ししたときに、文字選択や「コピー」の吹き出しが出ないでほしい,-webkit-touch-callout と user-select を切ってあり、こちらの品書きだけが出る,iOS実機,iOSで長押し,実機待ち,,CSSは出力済み。Chromeでは計測できない
TOUCH-05,タッチ,P0,全画面の再生画面を、下へ払って閉じたい,指の動きに追従して下がり、120px超または勢いよく払うと閉じる。足りなければ元へ戻る,再生中,全画面を下へ払う,検証済,2026-07-27,追従・戻り・閉じるの3つを実測
TOUCH-06,タッチ,P1,小窓（設定・追加・ペアリング・名前）も下へ払って閉じたい,同じ操作で閉じる。背景を押しても閉じる。名前を決める場面では閉じられない,-,小窓を下へ払う,検証済,2026-07-27,閾値・勢い・背景押しの3通りを実測
TOUCH-07,タッチ,P1,覆いかぶさるキュー／一緒に聴くパネルも下へ払って閉じたい,狭い画面で覆いかぶさっているときだけ、下へ払うと閉じる,狭い画面,パネルを下へ払う,検証済,2026-07-27,
TOUCH-08,タッチ,P0,中身を上下に送っている最中に、勝手に閉じないでほしい,中身が上端より下にあるときは、払う操作として扱わない。上端まで戻っていれば閉じられる,中身が長い小窓,下まで送ってから下へ引く,検証済,2026-07-27,scrollTop>0のとき無効化。上端では閉じることを実測
TOUCH-09,タッチ,P1,掴んで下ろせることが、見て分かってほしい,全画面と小窓の上端に、掴むための取っ手が出る。広い画面では出さない,狭い画面,上端を見る,検証済,2026-07-27,
TOUCH-10,タッチ,P1,品書きの項目が、指で押しやすい大きさであってほしい,狭い画面では1項目44px以上。広い画面では詰めて36px,-,項目の高さを測る,検証済,2026-07-27,44/36を実測
TOUCH-11,タッチ,P1,品書きが出ている間、何かを選んでいる最中だと分かってほしい,後ろが少し沈む（黒25%）,-,品書きを開く,検証済,2026-07-27,
TOUCH-12,タッチ,P2,押した瞬間に手応えがほしい,触覚を返せる端末では短く震える。iOSは対応していないので何も起きない,Android実機,長押しする,実機待ち,,navigator.vibrate。iOS非対応
